,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,rikitea,64,PF,2020-03-21 17:52:55,80,-23.12,-134.97,78.58,11.36
1,gat,40,IL,2020-03-21 17:52:56,76,31.61,34.76,55.0,6.93
2,ginda,67,IN,2020-03-21 17:52:56,79,30.69,78.49,48.52,3.53
3,las cruces,1,US,2020-03-21 17:52:50,47,32.31,-106.78,61.0,10.29
4,sidi ali,98,DZ,2020-03-21 17:52:56,81,36.1,0.42,54.46,2.51
5,albany,1,US,2020-03-21 17:52:56,40,42.6,-73.97,44.01,11.41
6,nantucket,1,US,2020-03-21 17:51:10,45,41.28,-70.1,44.6,17.22
7,sao filipe,1,CV,2020-03-21 17:52:56,83,14.9,-24.5,69.04,14.61
8,yining,69,CN,2020-03-21 17:52:56,95,29.04,114.56,65.98,1.66
9,port hardy,90,CA,2020-03-21 17:52:56,81,50.7,-127.42,42.8,6.93
10,alyangula,64,AU,2020-03-21 17:52:56,100,-13.85,136.42,73.4,4.79
11,mataura,99,NZ,2020-03-21 17:52:56,90,-46.19,168.86,53.01,13.0
12,quatre cocos,40,MU,2020-03-21 17:52:56,74,-20.21,57.76,78.8,8.05
13,jamestown,40,US,2020-03-21 17:49:09,63,42.1,-79.24,32.0,10.29
14,hithadhoo,7,MV,2020-03-21 17:52:57,64,-0.6,73.08,84.52,1.72
15,apulia,75,PT,2020-03-21 17:52:57,87,41.49,-8.76,57.0,4.7
16,lebu,100,CL,2020-03-21 17:52:57,63,-37.62,-73.65,61.66,9.57
17,nikolskoye,20,RU,2020-03-21 17:52:57,61,59.7,30.79,32.0,6.71
18,hermanus,0,ZA,2020-03-21 17:48:49,79,-34.42,19.23,69.01,4.0
19,yellowknife,90,CA,2020-03-21 17:50:44,92,62.46,-114.35,24.01,8.05
20,qasigiannguit,75,GL,2020-03-21 17:52:57,66,68.82,-51.19,10.4,9.17
21,butaritari,47,KI,2020-03-21 17:52:57,77,3.07,172.79,83.26,13.73
22,yar-sale,33,RU,2020-03-21 17:52:57,86,66.83,70.83,-7.28,7.99
